create_time,symbol,sum_open_interest,sum_open_interest_value,count_toptrader_long_short_ratio,sum_toptrader_long_short_ratio,count_long_short_ratio,sum_taker_long_short_vol_ratio
2026-05-25 09:15:00,BTCUSDT,99951.2810000000000000,7739397605.0077000000000000,1.08905550,1.11087000,1.06893761,2.33405100
2026-05-25 09:20:00,BTCUSDT,99954.8330000000000000,7737923432.8286000000000000,1.08750551,1.11019500,1.06676078,1.55127000
2026-05-25 09:25:00,BTCUSDT,99948.6000000000000000,7743177959.7600000000000000,1.08614004,1.10802600,1.06505780,4.78930800
2026-05-25 09:30:00,BTCUSDT,99919.8750000000000000,7741868060.4615240000000000,1.08547153,1.10660600,1.06616166,1.98026200
2026-05-25 09:35:00,BTCUSDT,99495.9160000000000000,7719878172.8484000000000000,1.08711671,1.09568600,1.07014454,2.47224100
2026-05-25 09:40:00,BTCUSDT,99489.6430000000000000,7716496302.7944000000000000,1.08469806,1.09433400,1.06802614,0.58211800
2026-05-25 09:45:00,BTCUSDT,99481.3920000000000000,7714912529.5237580000000000,1.08266044,1.09452900,1.06579218,1.10074600
2026-05-25 09:50:00,BTCUSDT,99505.8220000000000000,7719662114.2096860000000000,1.08073978,1.09746300,1.06376861,0.55184300
2026-05-25 09:55:00,BTCUSDT,99552.4450000000000000,7725959868.5036120000000000,1.08036439,1.09832900,1.06340792,1.59645600
2026-05-25 10:00:00,BTCUSDT,99543.6030000000000000,7721216547.0194570000000000,1.07916111,1.09807800,1.06243215,0.77737400
2026-05-25 10:05:00,BTCUSDT,99548.8850000000000000,7717973720.0079700000000000,1.07749401,1.09784600,1.06021296,0.75376600
2026-05-25 10:10:00,BTCUSDT,99550.2920000000000000,7724565087.6232000000000000,1.07678304,1.09804000,1.05875135,1.14290900
2026-05-25 10:15:00,BTCUSDT,99545.5840000000000000,7724528272.6736000000000000,1.07699309,1.09876000,1.05892256,1.23706600
2026-05-25 10:20:00,BTCUSDT,99540.0220000000000000,7723677183.3700870000000000,1.07723817,1.09902900,1.06055064,1.04033200
2026-05-25 10:25:00,BTCUSDT,99491.0480000000000000,7713957988.8946620000000000,1.07441328,1.09831800,1.05752872,0.38568100
2026-05-25 10:30:00,BTCUSDT,99460.5630000000000000,7708866625.9127220000000000,1.07175393,1.09766400,1.05435904,0.68831200
2026-05-25 10:35:00,BTCUSDT,99453.7170000000000000,7709065364.9097000000000000,1.06926589,1.09820400,1.05060353,2.15490300
2026-05-25 10:40:00,BTCUSDT,99472.3770000000000000,7707472364.9369880000000000,1.06923632,1.09929700,1.05006934,0.88333300
2026-05-25 10:45:00,BTCUSDT,99526.7580000000000000,7711562121.3834000000000000,1.06711691,1.09795200,1.04735592,1.87854200
2026-05-25 10:50:00,BTCUSDT,99566.4300000000000000,7715664677.8961180000000000,1.06625245,1.09762700,1.04634466,1.32621300
2026-05-25 10:55:00,BTCUSDT,99539.3070000000000000,7713802362.5901100000000000,1.06609730,1.09837000,1.04616338,0.61594400
2026-05-25 11:00:00,BTCUSDT,99486.1170000000000000,7710297345.2672290000000000,1.06637309,1.09897800,1.04662805,3.52970600
2026-05-25 11:05:00,BTCUSDT,99492.6020000000000000,7702020798.6260000000000000,1.06573132,1.09979400,1.04549951,0.71745600
2026-05-25 11:10:00,BTCUSDT,99484.7520000000000000,7702679626.0479860000000000,1.06432993,1.10144100,1.04328891,0.77491500
2026-05-25 11:15:00,BTCUSDT,99477.3340000000000000,7700938334.2760000000000000,1.06433052,1.10183600,1.04305116,0.55979900
2026-05-25 11:20:00,BTCUSDT,99502.9920000000000000,7701342079.5149310000000000,1.06363697,1.10138500,1.04195389,0.45839100
2026-05-25 11:25:00,BTCUSDT,99511.5160000000000000,7701403807.5790950000000000,1.06317162,1.10205900,1.04121140,1.57199000
2026-05-25 11:30:00,BTCUSDT,99541.4670000000000000,7702765956.7265540000000000,1.06236635,1.10186300,1.04006836,0.74102400
2026-05-25 11:35:00,BTCUSDT,99539.5770000000000000,7709034275.3305920000000000,1.06475048,1.10176700,1.04375163,3.26742400
2026-05-25 11:40:00,BTCUSDT,99513.7050000000000000,7708928671.5300000000000000,1.06629779,1.10142500,1.04567961,1.02583000
2026-05-25 11:45:00,BTCUSDT,99507.2000000000000000,7704842496.0000000000000000,1.06627221,1.10139700,1.04600226,0.81796700
2026-05-25 11:50:00,BTCUSDT,99507.9590000000000000,7701478191.5804000000000000,1.06630905,1.10115200,1.04563090,0.66531600
2026-05-25 11:55:00,BTCUSDT,99525.4120000000000000,7699284600.8470330000000000,1.06488365,1.10118300,1.04366232,0.41124200
2026-05-25 12:00:00,BTCUSDT,99534.8780000000000000,7696262111.9838570000000000,1.06380882,1.10103200,1.04131712,0.39725300
2026-05-25 12:05:00,BTCUSDT,99550.2420000000000000,7694053943.1747250000000000,1.06154719,1.10162000,1.03799804,0.60938500
2026-05-25 12:10:00,BTCUSDT,99581.0610000000000000,7697167900.5255000000000000,1.06199533,1.10163200,1.03825776,0.93897400
2026-05-25 12:15:00,BTCUSDT,99578.2280000000000000,7700141385.2108610000000000,1.06283692,1.10178000,1.03898377,0.84928500
2026-05-25 12:20:00,BTCUSDT,99596.7310000000000000,7701635934.1142000000000000,1.06347139,1.10226200,1.03969625,1.52460100
2026-05-25 12:25:00,BTCUSDT,99629.2650000000000000,7706044685.8080000000000000,1.06308516,1.09999200,1.03967081,2.10470400
2026-05-25 12:30:00,BTCUSDT,99600.6660000000000000,7704988000.9608000000000000,1.06439653,1.10064400,1.04122053,1.78592900
2026-05-25 12:35:00,BTCUSDT,99595.6340000000000000,7702207090.2790000000000000,1.06555816,1.10056100,1.04245674,0.56720200
2026-05-25 12:40:00,BTCUSDT,99616.2750000000000000,7702439960.9025000000000000,1.06613518,1.10089700,1.04289113,0.53152200
2026-05-25 12:45:00,BTCUSDT,99614.8890000000000000,7702502139.1692000000000000,1.06512661,1.10057900,1.04194754,0.67999900
2026-05-25 12:50:00,BTCUSDT,99669.1230000000000000,7704841818.2166000000000000,1.06457752,1.10136400,1.04098729,0.29710700
2026-05-25 12:55:00,BTCUSDT,99658.5180000000000000,7709582952.4800000000000000,1.06605839,1.10203600,1.04218342,1.07309700
2026-05-25 13:00:00,BTCUSDT,99647.1390000000000000,7705516230.4812480000000000,1.06760643,1.10289900,1.04416863,1.27029900
2026-05-25 13:05:00,BTCUSDT,99613.5980000000000000,7708468783.5526000000000000,1.06731750,1.10274700,1.04417400,1.04220000
2026-05-25 13:10:00,BTCUSDT,99609.5620000000000000,7706851577.6772000000000000,1.06903993,1.10283100,1.04609358,0.93717900
2026-05-25 13:15:00,BTCUSDT,99610.7160000000000000,7699101500.0004000000000000,1.06858089,1.10180900,1.04572496,0.70331700
2026-05-25 13:20:00,BTCUSDT,99633.5970000000000000,7698453778.7485020000000000,1.06741085,1.10096300,1.04476924,0.44467600
2026-05-25 13:25:00,BTCUSDT,99668.7770000000000000,7705263580.4599000000000000,1.06682594,1.10050500,1.04377399,0.72042000
2026-05-25 13:30:00,BTCUSDT,99689.5470000000000000,7705922231.4624000000000000,1.06670452,1.10165200,1.04339206,0.77682200
2026-05-25 13:35:00,BTCUSDT,99689.2050000000000000,7705989500.8214570000000000,1.06723124,1.10209300,1.04398716,1.16624200
2026-05-25 13:40:00,BTCUSDT,99630.2770000000000000,7702148041.6130870000000000,1.06651640,1.10333700,1.04441982,0.26119400
2026-05-25 13:45:00,BTCUSDT,99577.8780000000000000,7698256212.5142000000000000,1.06594782,1.10440100,1.04423476,0.70837200
2026-05-25 13:50:00,BTCUSDT,99566.8250000000000000,7696913839.8000000000000000,1.06564763,1.10465300,1.04371218,0.66764800
2026-05-25 13:55:00,BTCUSDT,99560.4180000000000000,7697109267.1793540000000000,1.06588785,1.10450000,1.04365892,1.09213700
2026-05-25 14:00:00,BTCUSDT,99560.2590000000000000,7696517533.3110770000000000,1.06604356,1.10479700,1.04363893,1.14059500
2026-05-25 14:05:00,BTCUSDT,99572.8480000000000000,7707715103.4144000000000000,1.06609555,1.10563800,1.04404975,2.13220100
2026-05-25 14:10:00,BTCUSDT,99534.5480000000000000,7708320451.6148250000000000,1.07173257,1.10660400,1.05037256,1.47174600
2026-05-25 14:15:00,BTCUSDT,99527.4070000000000000,7707229206.6888870000000000,1.07270502,1.10639800,1.05201737,0.93720400
2026-05-25 14:20:00,BTCUSDT,99480.3820000000000000,7711967913.5950000000000000,1.07407780,1.10706400,1.05463949,1.38008500
2026-05-25 14:25:00,BTCUSDT,99460.3570000000000000,7710654230.3893000000000000,1.07418467,1.10544800,1.05590423,0.40519100
2026-05-25 14:30:00,BTCUSDT,99463.4370000000000000,7716423174.1785000000000000,1.07582119,1.10652800,1.05565054,1.08929700
2026-05-25 14:35:00,BTCUSDT,99516.7810000000000000,7716362020.2123000000000000,1.07460808,1.10552500,1.05414126,0.56225000
2026-05-25 14:40:00,BTCUSDT,99526.2770000000000000,7716730076.6842000000000000,1.07348205,1.10523800,1.05219390,1.34384200
2026-05-25 14:45:00,BTCUSDT,99523.4070000000000000,7716567280.1287820000000000,1.07214214,1.10176200,1.05074033,2.22614500
2026-05-25 14:50:00,BTCUSDT,99485.4320000000000000,7726794738.4032000000000000,1.07094033,1.10345400,1.05453331,1.63671300
2026-05-25 14:55:00,BTCUSDT,99522.3730000000000000,7729047766.8498970000000000,1.06825532,1.10283600,1.05212002,0.69960800
2026-05-25 15:00:00,BTCUSDT,99512.5670000000000000,7729787910.5755000000000000,1.06757028,1.10299100,1.05127199,1.17722700
2026-05-25 15:05:00,BTCUSDT,99603.5070000000000000,7735815935.0127000000000000,1.06680501,1.10047700,1.05114567,0.60907200
2026-05-25 15:10:00,BTCUSDT,99559.1400000000000000,7737866345.3575450000000000,1.06324243,1.10048800,1.04529980,1.61265800
2026-05-25 15:15:00,BTCUSDT,99507.9900000000000000,7728636321.3150000000000000,1.05752486,1.10137700,1.04362628,1.95389300
2026-05-25 15:20:00,BTCUSDT,99436.8120000000000000,7721908884.6755500000000000,1.05459612,1.09886100,1.03895873,0.55666900
2026-05-25 15:25:00,BTCUSDT,99427.1350000000000000,7714224248.2338960000000000,1.05100307,1.09822100,1.03478343,0.37313600
2026-05-25 15:30:00,BTCUSDT,99450.7850000000000000,7713689027.5690930000000000,1.04939669,1.09800300,1.03288595,0.56177600
2026-05-25 15:35:00,BTCUSDT,99460.3700000000000000,7721518144.1470390000000000,1.04798723,1.09795100,1.03043540,0.84012900
2026-05-25 15:40:00,BTCUSDT,99477.6880000000000000,7722015272.3971520000000000,1.04726529,1.09780700,1.02945444,0.51708600
2026-05-25 15:45:00,BTCUSDT,99492.2610000000000000,7722997217.0901000000000000,1.04703908,1.09798300,1.02888095,0.72443100
2026-05-25 15:50:00,BTCUSDT,99503.9580000000000000,7718621526.0180000000000000,1.04580102,1.09835700,1.02700379,0.90528700
2026-05-25 15:55:00,BTCUSDT,99499.0010000000000000,7719003148.8787000000000000,1.04457278,1.09868200,1.02565943,0.83256000
2026-05-25 16:00:00,BTCUSDT,99504.1560000000000000,7720258802.8188000000000000,1.04473575,1.09907800,1.02594958,0.96716600
2026-05-25 16:05:00,BTCUSDT,99629.7770000000000000,7727604319.4064000000000000,1.04442085,1.09912000,1.02628422,0.32963000
2026-05-25 16:10:00,BTCUSDT,99628.8550000000000000,7725452397.8982450000000000,1.04434935,1.09944200,1.02564705,1.16389600
2026-05-25 16:15:00,BTCUSDT,99619.0890000000000000,7717879339.2771000000000000,1.04324889,1.09919600,1.02346110,0.35315700
2026-05-25 16:20:00,BTCUSDT,99548.5610000000000000,7715142890.6293000000000000,1.04226146,1.10146600,1.02178787,0.78826900
2026-05-25 16:25:00,BTCUSDT,99546.5430000000000000,7720015352.8040420000000000,1.04182762,1.10078900,1.02149162,1.21324900
2026-05-25 16:30:00,BTCUSDT,99541.3800000000000000,7720578744.8700000000000000,1.04187110,1.10048400,1.02164959,0.83425900
2026-05-25 16:35:00,BTCUSDT,99543.7000000000000000,7719917273.3832070000000000,1.04240042,1.10073100,1.02249037,0.90402700
2026-05-25 16:40:00,BTCUSDT,99516.0480000000000000,7721888034.9312000000000000,1.04281853,1.10042800,1.02368538,1.31567300
2026-05-25 16:45:00,BTCUSDT,99468.9290000000000000,7723692708.5997000000000000,1.04363480,1.09987400,1.02524653,1.05171000
